size,cores,time
12500, 24, 5.291352
12500, 25, 5.523311
12500, 25, 5.057951
12500, 25, 5.071048
12500, 25, 5.073258
12500, 25, 5.177515
12500, 26, 4.933565
12500, 26, 4.950742
12500, 26, 4.925905
12500, 26, 4.924368
12500, 26, 5.054764
12500, 27, 4.790097
12500, 27, 4.805388
12500, 27, 4.796906
12500, 27, 4.812342
12500, 27, 4.899673
12500, 28, 4.701661
12500, 28, 4.668751
12500, 28, 4.668599
12500, 28, 4.678808
12500, 28, 4.673722
12500, 29, 4.507701
12500, 29, 4.520263
12500, 29, 4.510163
12500, 29, 4.517044
12500, 29, 4.517038
12500, 30, 4.361666
12500, 30, 4.356074
12500, 30, 4.362686
12500, 30, 4.360725
12500, 30, 4.473124
12500, 31, 4.247012
12500, 31, 4.240801
12500, 31, 4.246562
12500, 31, 4.249114
12500, 31, 4.372085
12500, 32, 4.143241
12500, 32, 4.161419
12500, 32, 4.170748
12500, 32, 4.153239
12500, 32, 4.266434
12500, 33, 4.039545
12500, 33, 4.049908
12500, 33, 4.031678
12500, 33, 4.030760
12500, 33, 4.154237
12500, 34, 3.953187
12500, 34, 3.945611
12500, 34, 3.953759
12500, 34, 3.945965
12500, 34, 4.035531
12500, 35, 3.854384
12500, 35, 3.868846
12500, 35, 3.849215
12500, 35, 3.970377
12500, 35, 3.861509
12500, 36, 3.779157
12500, 36, 3.770431
12500, 36, 3.764894
12500, 36, 3.899711
12500, 36, 3.782611
12500, 37, 3.722814
12500, 37, 3.715496
12500, 37, 3.715275
12500, 37, 3.814229
12500, 37, 3.717952
12500, 38, 3.636575
12500, 38, 3.623809
12500, 38, 3.628468
12500, 38, 3.750304
12500, 38, 3.618421
12500, 39, 3.566857
12500, 39, 3.559008
12500, 39, 3.554401
12500, 39, 3.676703
12500, 39, 3.560472
12500, 40, 3.498178
12500, 40, 3.485300
12500, 40, 3.505444
12500, 40, 3.475880
12500, 40, 3.599646
12500, 41, 3.447886
12500, 41, 3.434292
12500, 41, 3.446800
12500, 41, 3.453786
12500, 41, 3.457826
12500, 42, 3.388767
12500, 42, 3.366568
12500, 42, 3.374467
12500, 42, 3.387104
12500, 42, 3.385118
12500, 43, 3.313031
12500, 43, 3.342655
12500, 43, 3.343218
12500, 43, 3.336811
12500, 43, 3.296562
12500, 44, 3.219862
12500, 44, 3.217974
12500, 44, 3.209913
12500, 44, 3.236646
12500, 44, 3.219066
12500, 45, 3.162779
12500, 45, 3.173733
12500, 45, 3.174327
12500, 45, 3.157834
12500, 45, 3.169542
12500, 46, 3.146680
12500, 46, 3.133824
12500, 46, 3.140251
12500, 46, 3.143278
12500, 46, 3.128810
12500, 47, 3.061206
12500, 47, 3.063885
12500, 47, 3.070764
12500, 47, 3.055452
12500, 47, 3.054452
12500, 48, 3.150698
12500, 48, 3.021935
12500, 48, 3.020968
12500, 48, 3.032607
12500, 48, 3.026333
