size, threads, time
10000,21, 2.605292
10000,21, 2.608535
10000,21, 2.607711
10000,21, 2.609280
10000,21, 2.607570
10000,22, 2.508842
10000,22, 2.508481
10000,22, 2.528348
10000,22, 2.626486
10000,22, 8.179299
10000,23, 2.418448
10000,23, 2.420128
10000,23, 2.422769
10000,23, 2.415042
10000,23, 2.536413
10000,24, 2.355150
10000,24, 2.339019
10000,24, 2.344260
10000,24, 2.331287
10000,24, 2.329533
10000,25, 2.359661
10000,25, 2.259909
10000,25, 2.254341
10000,25, 2.254949
10000,25, 2.253683
10000,26, 2.191983
10000,26, 2.284865
10000,26, 2.183522
10000,26, 2.186215
10000,26, 2.190307
10000,27, 2.120408
10000,27, 2.129610
10000,27, 2.119928
10000,27, 2.115548
10000,27, 2.115507
10000,28, 2.058390
10000,28, 2.069135
10000,28, 2.067764
10000,28, 2.074559
10000,28, 2.069079
10000,29, 2.047447
10000,29, 2.001549
10000,29, 2.192164
10000,29, 4.138663
10000,29, 2.013535
10000,30, 1.940989
10000,30, 1.947423
10000,30, 1.937637
10000,30, 1.936210
10000,30, 1.954387
10000,31, 1.889202
10000,31, 1.887080
10000,31, 1.889327
10000,31, 1.897417
10000,31, 1.898199
10000,32, 1.844792
10000,32, 1.850825
10000,32, 1.852273
10000,32, 1.842295
10000,32, 1.945471
10000,33, 1.798329
10000,33, 1.808964
10000,33, 1.799559
10000,33, 1.796432
10000,33, 1.798618
10000,34, 1.765986
10000,34, 1.755075
10000,34, 1.932141
10000,34, 1.757108
10000,34, 1.778078
10000,35, 1.727865
10000,35, 1.716213
10000,35, 1.719078
10000,35, 1.723642
10000,35, 1.718538
10000,36, 1.682116
10000,36, 1.679870
10000,36, 1.682789
10000,36, 1.679735
10000,36, 1.690716
10000,37, 8.310790
10000,37, 2.027675
10000,37, 1.649503
10000,37, 1.656414
10000,37, 1.656504
10000,38, 1.621518
10000,38, 1.611333
10000,38, 1.626463
10000,38, 1.636120
10000,38, 1.611560
10000,39, 1.646950
10000,39, 1.595696
10000,39, 1.590827
10000,39, 1.595162
10000,39, 1.591900
10000,40, 1.558076
10000,40, 1.558219
10000,40, 1.554296
10000,40, 1.560187
10000,40, 1.567440
10000,41, 1.524546
10000,41, 1.525508
10000,41, 1.537804
10000,41, 1.523417
10000,41, 1.531548
10000,42, 1.500982
10000,42, 1.531585
10000,42, 1.497740
10000,42, 1.510256
10000,42, 1.508706
10000,43, 1.493257
10000,43, 1.479594
10000,43, 1.483206
10000,43, 1.484859
10000,43, 1.471557
10000,44, 1.448270
10000,44, 1.447962
10000,44, 1.449600
10000,44, 1.458617
10000,44, 1.459492
10000,45, 7.570169
10000,45, 1.424361
10000,45, 1.426579
10000,45, 1.424546
10000,45, 1.422219
10000,46, 1.402416
10000,46, 1.408842
10000,46, 1.413263
10000,46, 1.415338
10000,46, 1.404899
10000,47, 1.383652
10000,47, 1.393716
10000,47, 1.499000
10000,47, 1.384169
10000,47, 1.390347
10000,48, 1.364365
10000,48, 1.365100
10000,48, 1.364374
10000,48, 1.362879
10000,48, 1.362947
10000,49, 1.351304
10000,49, 1.349210
10000,49, 1.345299
10000,49, 1.348611
10000,49, 1.350274
10000,50, 1.358459
10000,50, 1.327020
10000,50, 1.328271
10000,50, 7.903606
10000,50, 1.318329
10000,51, 1.316943
10000,51, 1.325939
10000,51, 1.309105
10000,51, 1.308194
10000,51, 1.312177
10000,52, 1.296616
10000,52, 1.305102
10000,52, 1.298820
10000,52, 1.322482
10000,52, 1.300447
10000,53, 1.272362
10000,53, 1.301168
10000,53, 1.278841
10000,53, 1.272150
10000,53, 1.271869
10000,54, 1.272014
10000,54, 1.262483
10000,54, 1.262870
10000,54, 1.258683
10000,54, 1.253498
10000,55, 1.247517
10000,55, 1.240244
10000,55, 1.242066
10000,55, 1.250556
10000,55, 1.243266
10000,56, 1.224226
10000,56, 1.236851
10000,56, 6.766484
10000,56, 3.024543
10000,56, 1.214036
10000,57, 1.207066
10000,57, 1.206835
10000,57, 1.210318
10000,57, 1.202955
10000,57, 1.213835
10000,58, 1.188653
10000,58, 1.185941
10000,58, 1.190866
10000,58, 1.233302
10000,58, 1.191571
10000,59, 1.186888
10000,59, 1.170964
10000,59, 1.179126
10000,59, 1.170259
10000,59, 1.174817
10000,60, 1.172056
10000,60, 1.162318
10000,60, 1.169544
10000,60, 1.173799
10000,60, 1.168314
10000,61, 1.151802
10000,61, 1.162068
10000,61, 1.153523
10000,61, 1.167230
10000,61, 1.181182
10000,62, 1.137264
10000,62, 1.137344
10000,62, 5.141107
10000,62, 2.965515
10000,62, 1.134162
10000,63, 1.135408
10000,63, 1.196126
10000,63, 1.137350
10000,63, 1.127189
10000,63, 1.137251
10000,64, 1.112212
10000,64, 1.110212
10000,64, 1.119637
10000,64, 1.122024
10000,64, 1.122580
