size, threads, time
10000,28, 3.619559
10000,28, 3.621342
10000,28, 3.735591
10000,28, 3.620739
10000,29, 3.506450
10000,29, 3.539719
10000,29, 3.510027
10000,29, 3.510396
10000,29, 3.611176
10000,30, 3.413772
10000,30, 3.401899
10000,30, 3.417530
10000,30, 3.417926
10000,30, 3.404185
10000,31, 3.422157
10000,31, 3.304883
10000,31, 3.327661
10000,31, 3.300229
10000,31, 3.300039
10000,32, 3.207568
10000,32, 3.271873
10000,32, 3.210227
10000,32, 3.205117
10000,32, 3.201653
10000,33, 3.114006
10000,33, 3.115975
10000,33, 3.235162
10000,33, 3.126404
10000,33, 3.114243
10000,34, 3.043480
10000,34, 3.031964
10000,34, 3.038892
10000,34, 3.036977
10000,34, 3.035237
10000,35, 2.957614
10000,35, 2.958195
10000,35, 2.957188
10000,35, 2.953700
10000,35, 2.950254
10000,36, 2.888363
10000,36, 2.880507
10000,36, 2.877804
10000,36, 2.877270
10000,36, 2.882239
10000,37, 2.809424
10000,37, 2.814492
10000,37, 2.804729
10000,37, 2.808711
10000,37, 2.809553
10000,38, 2.743006
10000,38, 2.743576
10000,38, 2.741045
10000,38, 2.741851
10000,38, 2.879943
10000,39, 2.679798
10000,39, 2.675073
10000,39, 2.676651
10000,39, 2.672799
10000,39, 2.671838
10000,40, 2.616702
10000,40, 2.740983
10000,40, 2.617978
10000,40, 2.618553
10000,40, 2.617409
10000,41, 2.559937
10000,41, 2.558058
10000,41, 2.560380
10000,41, 2.675864
10000,41, 2.558035
10000,42, 2.504892
10000,42, 2.505549
10000,42, 2.504642
10000,42, 2.504669
10000,42, 2.504567
10000,43, 2.575038
10000,43, 2.450853
10000,43, 2.452467
10000,43, 2.452420
10000,43, 2.472828
10000,44, 2.403849
10000,44, 2.403276
10000,44, 2.627192
10000,44, 2.404750
10000,44, 2.404978
10000,45, 2.358963
10000,45, 2.359879
10000,45, 2.362201
10000,45, 2.359398
10000,45, 2.361338
10000,46, 2.313997
10000,46, 2.313457
10000,46, 2.314271
10000,46, 2.338880
10000,46, 2.313186
10000,47, 2.271917
10000,47, 2.269887
10000,47, 2.269320
10000,47, 2.273278
10000,47, 2.270123
10000,48, 2.231631
10000,48, 7.620269
10000,48, 2.214068
10000,48, 2.218012
10000,48, 2.445625
10000,49, 2.209529
10000,49, 2.203137
10000,49, 2.201528
10000,49, 2.206007
10000,49, 2.200188
10000,50, 2.151801
10000,50, 2.147532
10000,50, 2.154795
10000,50, 2.151614
10000,50, 2.153037
10000,51, 2.116018
10000,51, 2.115670
10000,51, 2.114718
10000,51, 2.117347
10000,51, 2.250251
10000,52, 2.088546
10000,52, 2.082038
10000,52, 2.083485
10000,52, 2.083994
10000,52, 2.083982
10000,53, 2.047540
10000,53, 2.046866
10000,53, 2.170128
10000,53, 2.051185
10000,53, 2.048213
10000,54, 2.012234
10000,54, 2.015905
10000,54, 2.013916
10000,54, 2.014719
10000,54, 2.013328
10000,55, 2.103599
10000,55, 1.981981
10000,55, 1.983243
10000,55, 1.982414
10000,55, 1.979624
10000,56, 1.949168
10000,56, 1.949033
10000,56, 1.952540
10000,56, 2.080616
10000,56, 1.985489
10000,57, 1.922996
10000,57, 1.923035
10000,57, 1.919462
10000,57, 1.919622
10000,57, 1.917569
10000,58, 1.907490
10000,58, 2.023916
10000,58, 1.893987
10000,58, 1.895844
10000,58, 1.895935
10000,59, 1.865661
10000,59, 1.879036
10000,59, 1.866065
10000,59, 1.867896
10000,59, 2.059878
10000,60, 1.843297
10000,60, 1.841002
10000,60, 1.842759
10000,60, 1.839247
10000,60, 1.838090
10000,61, 1.843318
10000,61, 1.815320
10000,61, 1.947032
10000,61, 1.812876
10000,61, 1.813121
10000,62, 1.786132
10000,62, 1.788743
10000,62, 1.792827
10000,62, 1.787474
10000,62, 2.138804
10000,63, 1.757467
10000,63, 1.761678
10000,63, 1.756148
10000,63, 1.760480
10000,63, 1.758605
10000,64, 1.736463
10000,64, 1.735358
10000,64, 1.859510
10000,64, 1.737161
10000,64, 1.741792
